"ANYSCEN","ALLYEAR","ANYREGION","ITEM","Value","VARIABLE","UNIT"
"easwf",2030,"PRT","CRP",0.151339133,"AREA","1000 ha"
"easwf",2030,"PRT","GRS",1.532643083,"AREA","1000 ha"
"easwf",2030,"PRT","TOT",1.683982216,"AREA","1000 ha"
"easwf",2030,"ROU","CRP",26.50450151,"AREA","1000 ha"
"easwf",2030,"ROU","GRS",4.843469178,"AREA","1000 ha"
"easwf",2030,"ROU","TOT",31.34797068,"AREA","1000 ha"
"easwf",2030,"SVK","CRP",12.65979896,"AREA","1000 ha"
"easwf",2030,"SVK","GRS",0.74090604,"AREA","1000 ha"
"easwf",2030,"SVK","TOT",13.400705,"AREA","1000 ha"
"easwf",2030,"SVN","CRP",0.590333343,"AREA","1000 ha"
"easwf",2030,"SVN","GRS",0.038680684,"AREA","1000 ha"
"easwf",2030,"SVN","TOT",0.629014027,"AREA","1000 ha"
"easwf",2030,"ESP","CRP",24.2356633,"AREA","1000 ha"
"easwf",2030,"ESP","GRS",5.941297738,"AREA","1000 ha"
"easwf",2030,"ESP","TOT",30.17696104,"AREA","1000 ha"
"easwf",2030,"SWE","CRP",3.131884891,"AREA","1000 ha"
"easwf",2030,"SWE","GRS",1.645294687,"AREA","1000 ha"
"easwf",2030,"SWE","TOT",4.777179578,"AREA","1000 ha"
"easwf",2040,"AUT","CRP",5.632146987,"AREA","1000 ha"
"easwf",2040,"AUT","GRS",1.043970884,"AREA","1000 ha"
"easwf",2040,"AUT","TOT",6.676117871,"AREA","1000 ha"
"easwf",2040,"BGR","CRP",109.7005412,"AREA","1000 ha"
"easwf",2040,"BGR","GRS",2.789146084,"AREA","1000 ha"
"easwf",2040,"BGR","TOT",112.4896873,"AREA","1000 ha"
"easwf",2040,"HRV","CRP",31.0102815,"AREA","1000 ha"
"easwf",2040,"HRV","GRS",1.29062799,"AREA","1000 ha"
"easwf",2040,"HRV","TOT",32.30090949,"AREA","1000 ha"
"easwf",2040,"CYP","CRP",0.007948443,"AREA","1000 ha"
"easwf",2040,"CYP","GRS",0.055328584,"AREA","1000 ha"
"easwf",2040,"CYP","TOT",0.063277027,"AREA","1000 ha"
"easwf",2040,"CZE","CRP",55.0769604,"AREA","1000 ha"
"easwf",2040,"CZE","GRS",2.210054531,"AREA","1000 ha"
"easwf",2040,"CZE","TOT",57.28701493,"AREA","1000 ha"
"easwf",2040,"DNK","CRP",30.01070237,"AREA","1000 ha"
"easwf",2040,"DNK","GRS",0.671879533,"AREA","1000 ha"
"easwf",2040,"DNK","TOT",30.68258191,"AREA","1000 ha"
"easwf",2040,"EST","CRP",1.387636492,"AREA","1000 ha"
"easwf",2040,"EST","GRS",0.98152751,"AREA","1000 ha"
"easwf",2040,"EST","TOT",2.369164002,"AREA","1000 ha"
"easwf",2040,"FIN","CRP",0.27444913,"AREA","1000 ha"
"easwf",2040,"FIN","GRS",0.574363158,"AREA","1000 ha"
"easwf",2040,"FIN","TOT",0.848812288,"AREA","1000 ha"
"easwf",2040,"FRA","CRP",113.720723,"AREA","1000 ha"
"easwf",2040,"FRA","GRS",42.18607098,"AREA","1000 ha"
"easwf",2040,"FRA","TOT",155.906794,"AREA","1000 ha"
"easwf",2040,"DEU","CRP",68.21880406,"AREA","1000 ha"
"easwf",2040,"DEU","GRS",7.744848946,"AREA","1000 ha"
"easwf",2040,"DEU","TOT",75.96365301,"AREA","1000 ha"
"easwf",2040,"HUN","CRP",143.3095495,"AREA","1000 ha"
"easwf",2040,"HUN","GRS",1.150952748,"AREA","1000 ha"
"easwf",2040,"HUN","TOT",144.4605023,"AREA","1000 ha"
"easwf",2040,"IRL","CRP",0.38048827,"AREA","1000 ha"
"easwf",2040,"IRL","GRS",25.354825,"AREA","1000 ha"
"easwf",2040,"IRL","TOT",25.73531327,"AREA","1000 ha"
"easwf",2040,"ITA","CRP",68.68070659,"AREA","1000 ha"
"easwf",2040,"ITA","GRS",1.991368128,"AREA","1000 ha"
"easwf",2040,"ITA","TOT",70.67207472,"AREA","1000 ha"
"easwf",2040,"LVA","CRP",10.78235696,"AREA","1000 ha"
"easwf",2040,"LVA","GRS",0.878068492,"AREA","1000 ha"
"easwf",2040,"LVA","TOT",11.66042546,"AREA","1000 ha"
"easwf",2040,"LTU","CRP",41.17545605,"AREA","1000 ha"
"easwf",2040,"LTU","GRS",1.597346356,"AREA","1000 ha"
"easwf",2040,"LTU","TOT",42.7728024,"AREA","1000 ha"
"easwf",2040,"MLT","CRP",0,"AREA","1000 ha"
"easwf",2040,"MLT","GRS",0,"AREA","1000 ha"
"easwf",2040,"MLT","TOT",0,"AREA","1000 ha"
"easwf",2040,"NLD","CRP",4.609303178,"AREA","1000 ha"
"easwf",2040,"NLD","GRS",1.408398827,"AREA","1000 ha"
"easwf",2040,"NLD","TOT",6.017702005,"AREA","1000 ha"
"easwf",2040,"NOR","CRP",1.53175716,"AREA","1000 ha"
"easwf",2040,"NOR","GRS",0.156186879,"AREA","1000 ha"
"easwf",2040,"NOR","TOT",1.687944039,"AREA","1000 ha"
"easwf",2040,"POL","CRP",126.5448386,"AREA","1000 ha"
"easwf",2040,"POL","GRS",4.196674429,"AREA","1000 ha"
"easwf",2040,"POL","TOT",130.741513,"AREA","1000 ha"
